,ID,Age,Mass,Ext,Z,FUV,NUV,U,B,V,R,I,J,H,K,F275W,F336W,F475W,F814W,F110W,F160W,u_CFHT,g_CFHT,r_CFHT,i_CFHT,z_CFHT,u_SDSS,g_SDSS,r_SDSS,i_SDSS,z_SDSS,J_2MASS,H_2MASS,Ks_2MASS,a_BATC,b_BATC,c_BATC,d_BATC,e_BATC,f_BATC,g_BATC,h_BATC,i_BATC,j_BATC,k_BATC,m_BATC,n_BATC,o_BATC,p_BATC,t_BATC,IRAC36,IRAC45,IRAC58,IRAC80,mip24,mip70,mip160,Mass_present
0,1.0,8.0,3.9989872775876543,0.0,0.019,-7.911294010927019,-7.639010953480492,-7.186570401308203,-6.89135616353441,-7.060931342924167,-7.251858582168376,-7.461314901306544,-7.864586349507084,-8.278855895768634,-8.338678675453712,-7.544111726636762,-7.4178086791562485,-6.965815451560449,-7.478580637421208,-7.782083461633763,-8.221001648181431,-6.691102930484554,-7.076509035568087,-7.090268831134078,-7.059451103147133,-7.041576247635858,-6.340596160565801,-7.036677546961951,-7.060615841637734,-7.035364733289471,-7.012934671349964,-7.916709678248988,-8.306369745214264,-8.384012425488335,-6.239741186609985,-6.8577457834246145,-7.033226484081835,-7.09483904007994,-7.076782207325939,-7.077953656515788,-7.104277269087778,-7.100467847572189,-7.077969239095168,-7.0765673480671705,-7.072279854683755,-7.046288659327881,-7.015562018267732,-7.049056256301272,-7.053868452781339,-7.048720819719678,-8.42363673787975,-8.350567987814925,-8.374179269270009,-8.430550343403835,-8.444286343947518,-8.465188813651213,-8.444298711851726,3.8614067307278033
1,2.0,8.0,4.007465910927504,0.0,0.019,-8.039810913997758,-7.764800995191767,-7.283523791937175,-6.956700267392409,-7.086488486962574,-7.264623984963995,-7.475221495415624,-7.915717343762908,-8.38952159830549,-8.46346903145471,-7.666769254416912,-7.520471366701446,-7.014481377575558,-7.492364730063423,-7.824897660380453,-8.314385940493228,-6.78126512644373,-7.121312565825745,-7.103766406005379,-7.070795503882515,-7.061047237576395,-6.437219262750631,-7.08643858088157,-7.074739279625726,-7.045941607191598,-7.03315674141613,-7.967846587163049,-8.417924370913251,-8.513197024009088,-6.341818084626906,-6.951841328474259,-7.107152593629749,-7.148605893799181,-7.11533907524505,-7.108189112291685,-7.122425717296855,-7.114986931787584,-7.0876848855377705,-7.085359261719255,-7.08518144861507,-7.057761941841808,-7.0328366208913025,-7.070527607338527,-7.078897529503992,-7.058639149707052,-8.560239977177828,-8.470261391784446,-8.500561957922091,-8.560847630268412,-8.583705293486021,-8.607091413918456,-8.589045296891282,3.8646837538122925
2,3.0,8.0,3.9927374237888906,0.0,0.019,-8.013533315418254,-7.735513977821893,-7.26648008662546,-6.95266877481182,-7.099961628359994,-7.2766609434898974,-7.473805399813359,-7.860540242492403,-8.269805319701808,-8.329792364201404,-7.638347028447395,-7.5025492482924445,-7.0188532280726275,-7.4913818110054065,-7.781334104124027,-8.212353181176404,-6.765878556041379,-7.127404050931134,-7.117654577125768,-7.074261246402821,-7.049999193891578,-6.421459323028177,-7.090449511176984,-7.0888552968278296,-7.051442401161384,-7.020926542244385,-7.912557070019236,-8.297225788204676,-8.375257912433714,-6.3242644963451085,-6.932502100780544,-7.098941212297925,-7.15071776648954,-7.125305178979209,-7.121249989084966,-7.137367976835099,-7.129525821985573,-7.099681444026604,-7.096149067298782,-7.087661775094314,-7.059086638357054,-7.025152197822338,-7.0567611417053575,-7.05953300937288,-7.070969473651849,-8.414468166915785,-8.340465747790088,-8.364730683415312,-8.419684768425741,-8.43458723810214,-8.455887833693737,-8.43446978961381,3.8678526177585195
3,4.0,8.0,4.000147925000965,0.0,0.019,-7.932631582053974,-7.658023482114546,-7.217964770150464,-6.941272461949577,-7.142287853911568,-7.355735483227873,-7.58886819947695,-8.028906616434838,-8.472541735093298,-8.53938336441453,-7.563793037161143,-7.446524679257581,-7.02728793305668,-7.605324473092172,-7.9391254998445575,-8.407934995234305,-6.725714904595852,-7.141053357440487,-7.189396718905515,-7.182077919769344,-7.177417269225787,-6.37244732547332,-7.096993545374891,-7.158390140466252,-7.155412426048833,-7.149522560368764,-8.081056116717658,-8.50037477616669,-8.58555179705049,-6.268715983234677,-6.889418133979833,-7.077129306025082,-7.152269412359305,-7.144585297165547,-7.152733405559147,-7.194574070264526,-7.196621278133222,-7.186182714247089,-7.18956386007094,-7.1941874634127325,-7.17492317745073,-7.14782527871448,-7.187942595730579,-7.196625121554321,-7.156978986969962,-8.628283258414038,-8.550494042722987,-8.577344587384848,-8.632980543965061,-8.651754626821123,-8.672081994586978,-8.654796233238022,3.8638448257429854
4,5.0,8.0,4.012687295070468,0.0,0.019,-8.18909038420339,-7.900232512763003,-7.403264774242897,-7.066511813706579,-7.197849025225661,-7.371202756485038,-7.571579088287214,-7.978247557629496,-8.41994997893899,-8.48838483490978,-7.798421969570236,-7.647222059038114,-7.125827990610629,-7.589068346672044,-7.894616938775959,-8.353547773107715,-6.894977863942362,-7.232829043974171,-7.211979349327312,-7.170412710480206,-7.150979780362146,-6.560237919771451,-7.197906847819192,-7.183370994153209,-7.146933350347595,-7.122333086810232,-8.030259401247392,-8.447867680922332,-8.535867927134523,-6.468567404992298,-7.06028917532116,-7.216149857063203,-7.259284163873091,-7.2285485205569735,-7.220609998867974,-7.23273470021434,-7.223775383956155,-7.193262305599046,-7.190118928409484,-7.18434772000469,-7.1568210375836605,-7.124635458015671,-7.159241034043433,-7.1635705489479715,-7.165690663157648,-8.57894135357716,-8.496041976181223,-8.524670267485996,-8.579996914879596,-8.601428742577827,-8.6224546791344,-8.603798832941264,3.8673204467855964
5,6.0,8.0,4.002089708049543,0.0,0.019,-8.105627408900695,-7.827197583450159,-7.3354372569790876,-7.002277285672008,-7.127279611327574,-7.303293044457422,-7.513106838696553,-7.955152030537853,-8.432795843370656,-8.508189808468495,-7.727412360263738,-7.57597718145438,-7.058162136247276,-7.530306707532494,-7.863905621966817,-8.356537962560873,-6.830960406787071,-7.164456814299846,-7.1426690559476205,-7.108687656550838,-7.098863989962867,-6.489872359011393,-7.130291810796711,-7.113786405707807,-7.083867981780565,-7.071095711664029,-8.007285806490891,-8.46126561451705,-8.558176415483908,-6.397199957043273,-7.000717921771481,-7.153551386360057,-7.192896440055855,-7.157739932437277,-7.149753830031699,-7.1621316990791675,-7.15408189706487,-7.125772811112241,-7.12333844938557,-7.123501992950213,-7.095717931098685,-7.070596106287242,-7.108357131489868,-7.117054057711103,-7.096949988923063,-8.606060393006226,-8.513470510892013,-8.544800766401005,-8.605606736178586,-8.629473088894004,-8.650917418082383,-8.63392746528263,3.871536027303514
6,7.0,8.0,3.997683802708161,0.0,0.019,-8.185916327260282,-7.9034098427364725,-7.433047759858532,-7.11072088182953,-7.2330841787689835,-7.384102653007809,-7.548964281918139,-7.863448241556947,-8.20468067254179,-8.250885689422727,-7.804905278860478,-7.6671968625963425,-7.169319989082573,-7.56774941115796,-7.799991097439199,-8.164614415458333,-6.9314890315667474,-7.2756058398693435,-7.231003455051396,-7.157237677757359,-7.111587014534267,-6.587759722346927,-7.241956917011167,-7.203880028979461,-7.138161497481088,-7.081071202832961,-7.915229234735977,-8.231227710359533,-8.292547729132336,-6.488908675810628,-7.099649297705149,-7.26180888839176,-7.304571325346546,-7.272061578948922,-7.261343198122673,-7.261118302454434,-7.246228403904817,-7.201566117225948,-7.193295607697509,-7.170554792667,-7.136228591101046,-7.091158389383842,-7.11556014002947,-7.1101086941994325,-7.1738387838961675,-8.322740392077813,-8.264990210847921,-8.283546855414246,-8.32994137203415,-8.339189545722235,-8.35826847060407,-8.333461331951883,3.873124004085213
7,8.0,8.0,3.9798767668682866,0.0,0.019,-8.036651858717557,-7.75776989068177,-7.268763451299732,-6.923049019149634,-7.008128482323689,-7.142289683550505,-7.299860125103285,-7.636753341807223,-8.029037335614738,-8.086220722296435,-7.6586891705547036,-7.509047931451127,-6.967016048826611,-7.318845855751205,-7.567468652748866,-7.972864189066449,-6.762742358960274,-7.069741151060382,-6.991260344605845,-6.907885110695694,-6.864368794495434,-6.4232579889650845,-7.04063220906184,-6.965086996809396,-6.888989014626967,-6.834219512361223,-7.688734502860433,-8.05622357082761,-8.13189504188564,-6.330342049829765,-6.9336033060282185,-7.081976445659132,-7.107818884688511,-7.0599403590813425,-7.0417548435649255,-7.027799887423357,-7.008436406653695,-6.955732646791153,-6.945073944514065,-6.922602471185167,-6.883913470741364,-6.84455583136446,-6.868365296060137,-6.8652984276242925,-6.927034275705286,-8.16882605237319,-8.096835902826298,-8.119729531813022,-8.171890366550555,-8.187559295014303,-8.215068695587565,-8.188221250407787,3.8631645076664363
8,9.0,8.0,3.9834843622910747,0.0,0.019,-8.077548461754038,-7.802974526854614,-7.308802256511948,-6.94881858563148,-6.996405587743424,-7.094937936542248,-7.210146732769727,-7.46214406252907,-7.7831658599449085,-7.826923136980682,-7.704354046671518,-7.5499241301480176,-6.9806831996366006,-7.230594607036323,-7.411678580431431,-7.743263352476325,-6.801022823860306,-7.0799561342223924,-6.951701180818891,-6.827749458586468,-6.757579719751493,-6.462760548840604,-7.055673355098099,-6.927802488487458,-6.813597376893085,-6.725799161744385,-7.513919623656054,-7.809640873135777,-7.86994001799584,-6.371082854837483,-6.97425479679402,-7.1143069864856905,-7.126712487546046,-7.066304894667388,-7.039515455510187,-7.002800378472823,-6.97367085637452,-6.900161200820821,-6.882711142826281,-6.843706712983913,-6.794660868934514,-6.74377857313808,-6.757231477791038,-6.745465040802076,-6.871514015454241,-7.898570719376309,-7.838029451162951,-7.85600713965339,-7.9021596498956015,-7.911724127535281,-7.942182825925917,-7.907543051030292,3.8701487684873905
9,10.0,8.0,3.9901628126639985,0.0,0.019,-8.045940015232722,-7.767774560994848,-7.276237940244902,-6.949382751790642,-7.0901586113802555,-7.282788801526178,-7.515186785316372,-8.002312341501025,-8.514051481492865,-8.59692928577999,-7.667906804986221,-7.516752464341046,-7.010122519465181,-7.531799051001889,-7.902675019324761,-8.429747574971408,-6.772693798150755,-7.11790192296176,-7.117863152845549,-7.105334167209244,-7.1106390417504395,-6.430651842134202,-7.081567898280059,-7.087895477473941,-7.077953193561054,-7.083765831193677,-8.054614545610576,-8.542840182991808,-8.648934122059671,-6.337977564681168,-6.9418990276224735,-7.097872146962115,-7.142603004979194,-7.111884055275619,-7.1084575485740364,-7.130668354014501,-7.126945138349371,-7.108433502710732,-7.110659069535474,-7.121383017524881,-7.096409786860453,-7.077665377831497,-7.123480433194914,-7.1370696219217535,-7.079270060572496,-8.701239130340458,-8.60068807864909,-8.636244600999305,-8.70073413858928,-8.719410337041346,-8.744256142874747,-8.730044505496275,3.868163048512083
