 #aa  mm  Ext Proba
   1   1  85   0.113E-36
   1   1  87   0.256E-27
   1   1  89   0.144E-27
   1   1  90   0.907E-23
   1   1  91   0.179E-23
   1   1  92   0.160E-17
   1   1  93   0.573E-17
   1   1  94   0.410E-19
   1   1  95   0.188E-13
   1   1  96   0.787E-13
   1   1  97   0.218E-12
   1   1  98   0.259E-12
   1   1  99   0.326E-12
   1   1 100   0.455E-23
   1   1 101   0.303E-13
   1   1 102   0.856E-14
   1   1 104   0.181E-27
   1   1 105   0.542E-31
   1   1 106   0.752E-25
   1   1 108   0.373E-27
   1   2  86   0.661E-33
   1   2  87   0.249E-31
   1   2  88   0.113E-30
   1   2  89   0.282E-25
   1   2  90   0.185E-31
   1   2  91   0.259E-23
   1   2  92   0.211E-21
   1   2  93   0.674E-17
   1   2  94   0.200E-18
   1   2  95   0.969E-16
   1   2  96   0.132E-12
   1   2  97   0.268E-13
   1   2  98   0.768E-13
   1   2  99   0.128E-13
   1   2 100   0.895E-14
   1   2 103   0.326E-31
   1   2 106   0.126E-16
   1   2 107   0.483E-35
   1   2 109   0.582E-18
   1   2 110   0.580E-20
   1   3  85   0.324E-33
   1   3  87   0.126E-36
   1   3  88   0.406E-31
   1   3  89   0.407E-24
   1   3  90   0.228E-26
   1   3  91   0.826E-20
   1   3  92   0.651E-11
   1   3  93   0.115E-22
   1   3  94   0.120E-17
   1   3  95   0.829E-17
   1   3  96   0.162E-13
   1   3  97   0.334E-13
   1   3  98   0.204E-12
   1   3  99   0.101E-12
   1   3 100   0.661E-13
   1   3 101   0.377E-13
   1   3 102   0.102E-15
   1   3 103   0.283E-28
   1   3 104   0.381E-15
   1   3 107   0.539E-22
   1   3 108   0.257E-25
   1   3 109   0.106E-30
   1   4  84   0.152E-32
   1   4  86   0.401E-29
   1   4  87   0.118E-26
   1   4  88   0.197E-24
   1   4  89   0.277E-29
   1   4  91   0.452E-20
   1   4  92   0.274E-16
   1   4  93   0.716E-17
   1   4  94   0.137E-11
   1   4  95   0.165E-14
   1   4  96   0.241E-12
   1   4  97   0.226E-13
   1   4  98   0.263E-12
   1   4  99   0.647E-14
   1   4 100   0.471E-14
   1   4 101   0.106E-13
   1   4 102   0.185E-20
   1   4 103   0.379E-16
   1   4 104   0.307E-18
   1   4 105   0.175E-19
   1   4 106   0.344E-35
   1   4 107   0.116E-28
   1   4 109   0.415E-21
   1   4 110   0.860E-36
   1   5  85   0.481E-36
   1   5  86   0.262E-32
   1   5  88   0.190E-25
   1   5  89   0.301E-25
   1   5  90   0.329E-27
   1   5  91   0.445E-19
   1   5  92   0.473E-18
   1   5  95   0.660E-16
   1   5  96   0.151E-21
   1   5  98   0.107E-12
   1   5  99   0.873E-13
   1   5 100   0.867E-14
   1   5 101   0.292E-13
   1   5 102   0.918E-16
   1   5 103   0.846E-16
   1   5 104   0.204E-15
   1   5 108   0.177E-18
   1   5 110   0.639E-26
   1   6  86   0.278E-36
   1   6  87   0.197E-35
   1   6  88   0.449E-37
   1   6  89   0.229E-35
   1   6  90   0.496E-25
   1   6  91   0.801E-23
   1   6  92   0.110E-25
   1   6  93   0.210E-23
   1   6  94   0.614E-11
   1   6  95   0.540E-14
   1   6  96   0.861E-13
   1   6  97   0.237E-11
   1   6  98   0.325E-12
   1   6  99   0.247E-12
   1   6 100   0.215E-13
   1   6 101   0.142E-13
   1   6 102   0.159E-14
   1   6 103   0.335E-14
   1   6 104   0.223E-16
   1   6 105   0.500E-15
   1   6 106   0.595E-17
   1   6 107   0.219E-23
   1   6 108   0.101E-27
   1   6 111   0.100E-33
   1   7  85   0.572E-35
   1   7  87   0.262E-36
   1   7  88   0.102E-28
   1   7  89   0.497E-22
   1   7  90   0.104E-23
   1   7  91   0.134E-21
   1   7  92   0.470E-21
   1   7  93   0.267E-17
   1   7  94   0.568E-11
   1   7  95   0.155E-13
   1   7  96   0.115E-10
   1   7  97   0.154E-12
   1   7  98   0.338E-12
   1   7  99   0.872E-13
   1   7 100   0.520E-13
   1   7 101   0.242E-14
   1   7 102   0.363E-14
   1   7 103   0.101E-14
   1   7 104   0.196E-14
   1   7 105   0.837E-19
   1   7 106   0.420E-21
   1   7 107   0.153E-16
   1   7 108   0.276E-18
   1   7 109   0.187E-25
   1   7 110   0.641E-24
   1   8  86   0.325E-31
   1   8  87   0.145E-36
   1   8  88   0.110E-18
   1   8  90   0.560E-21
   1   8  91   0.527E-17
   1   8  92   0.852E-23
   1   8  93   0.276E-16
   1   8  95   0.184E-11
   1   8  96   0.263E-12
   1   8  97   0.576E-12
   1   8  98   0.360E-12
   1   8  99   0.508E-14
